scope,recording_id,samples,candidate_macro_f1,baseline_macro_f1,macro_f1_delta
crossfit_oof,1.10,597,0.7008554794291922,0.7008216178706467,3.386155854556705e-05
crossfit_oof,1.11,60,0.6718092566619916,0.6718092566619916,0.0
crossfit_oof,1.2,464,0.776122849529331,0.7897590516500888,-0.013636202120757779
crossfit_oof,1.3,778,0.7686114295679287,0.7659176542500297,0.0026937753178990498
crossfit_oof,1.4,488,0.6889813640527019,0.6892520058205508,-0.00027064176784885596
crossfit_oof,1.5,453,0.7204729876242597,0.7151289169418389,0.005344070682420821
crossfit_oof,2.11,473,0.6316077713136536,0.6283061501513524,0.0033016211623012603
crossfit_oof,2.2,376,0.8211925124817111,0.8290529322750252,-0.007860419793314088
crossfit_oof,2.5,332,0.4275242301558091,0.4186736904603996,0.008850539695409498
crossfit_oof,2.7,540,0.5878888253802103,0.5956331921124364,-0.007744366732226116
crossfit_oof,2.8,416,0.5976336526680975,0.5878577242779438,0.009775928390153732
validation,1.7,206,0.8504459561602419,0.8435138090508723,0.006932147109369624
validation,2.4,584,0.8297892351759225,0.8242732838828348,0.005515951293087684
validation,2.9,593,0.6489067849361967,0.6291800032471674,0.019726781689029305
