scope,subgroup,samples,candidate_macro_f1,candidate_accuracy,candidate_log_loss,candidate_sitting_f1,candidate_standing_f1,candidate_walking_running_f1,candidate_worst_class_f1,baseline_macro_f1,baseline_accuracy,baseline_log_loss,baseline_sitting_f1,baseline_standing_f1,baseline_walking_running_f1,baseline_worst_class_f1,macro_f1_delta
crossfit_oof,transition,398,0.5041205749239419,0.5477386934673367,1.0815690336781196,0.4,0.48859934853420195,0.6237623762376238,0.4,0.506222031350211,0.5402010050251256,1.094347983788894,0.43373493975903615,0.47368421052631576,0.6112469437652812,0.43373493975903615,-0.0021014564262691326
crossfit_oof,non_transition,4579,0.7298670938712418,0.7265778554269491,0.7215540505795955,0.7484745762711864,0.693444909344491,0.7476817959980478,0.693444909344491,0.7320923081954741,0.7281065734876611,0.7242990640142491,0.7539195637355146,0.6939921392476137,0.7483652216032938,0.6939921392476137,-0.002225214324232283
crossfit_oof,window_occluded,412,0.6012705603143914,0.6262135922330098,0.9450003267830256,0.4972375690607735,0.6936708860759494,0.6129032258064516,0.4972375690607735,0.6320866896816263,0.6577669902912622,0.945365613127259,0.5333333333333333,0.7189873417721518,0.6439393939393939,0.5333333333333333,-0.03081612936723488
crossfit_oof,window_clear,4565,0.7263925501417923,0.7200438116100767,0.7327755396217422,0.7599709934735316,0.6754360880754933,0.7437705688763516,0.6754360880754933,0.7248524286341184,0.7180722891566265,0.7366101378008315,0.7610108303249098,0.6718524920772112,0.741693963500234,0.6718524920772112,0.0015401215076739083
validation,transition,101,0.5176518935590607,0.6336633663366337,0.8268451291012884,0.21052631578947367,0.6097560975609756,0.7326732673267327,0.21052631578947367,0.49947946790052056,0.6138613861386139,0.8419686181853125,0.21052631578947367,0.5641025641025641,0.7238095238095238,0.21052631578947367,0.01817242565854016
validation,non_transition,1282,0.8043194696400512,0.7987519500780031,0.5363359775940922,0.8498727735368957,0.7347391786903441,0.8283464566929134,0.7347391786903441,0.7970686380505945,0.7909516380655226,0.5412335013611352,0.8527918781725888,0.7146118721461188,0.8238021638330757,0.7146118721461188,0.007250831589456719
validation,window_occluded,25,0.6759259259259259,0.72,0.8764504752589221,0.7777777777777778,0.75,0.5,0.5,0.7075163398692811,0.72,0.7993057850668438,0.7058823529411765,0.75,0.6666666666666666,0.6666666666666666,-0.031590413943355156
validation,window_clear,1358,0.7897298893597023,0.7879234167893961,0.5516810157830511,0.8223350253807107,0.7236704900938478,0.8231841526045488,0.7236704900938478,0.7822080947167974,0.7790868924889544,0.5588494363439035,0.8282828282828283,0.7010752688172043,0.8172661870503597,0.7010752688172043,0.007521794642904922
