cohort,rows,images,resolved_3class_rows,not_resolved_3class_rows,source_matches_resolved,source_match_fraction_resolved,prediction_matches_resolved,prediction_match_fraction_resolved
error_enriched,42,40,30,12,22,0.7333333333333333,8,0.2666666666666666
probability_sample,84,84,61,23,52,0.8524590163934426,48,0.7868852459016393
