family,class,precision,recall,f1,support
static,sitting,0.8150134048257373,0.8660968660968661,0.8397790055248618,351
static,standing,0.7549549549549549,0.6046176046176046,0.6714743589743589,693
static,walking_running,0.6761565836298933,0.7840440165061898,0.7261146496815286,727
teacher,sitting,0.8801169590643275,0.8575498575498576,0.8686868686868687,351
teacher,standing,0.8061041292639138,0.6479076479076479,0.7184,693
teacher,walking_running,0.7052752293577982,0.8459422283356258,0.7692307692307693,727
classification_student,sitting,0.834733893557423,0.8490028490028491,0.8418079096045198,351
classification_student,standing,0.7681992337164751,0.5786435786435786,0.660082304526749,693
classification_student,walking_running,0.6670403587443946,0.8184319119669876,0.7350216182828907,727
routing_student,sitting,0.8379888268156425,0.8547008547008547,0.846262341325811,351
routing_student,standing,0.7744510978043913,0.5598845598845599,0.6499162479061976,693
routing_student,walking_running,0.6611842105263158,0.8294360385144429,0.7358145210494204,727
source_only_static,sitting,0.5472527472527473,0.7094017094017094,0.6178660049627791,351
source_only_static,standing,0.5243770314192849,0.6984126984126984,0.599009900990099,693
source_only_static,walking_running,0.7175572519083969,0.3878954607977992,0.5035714285714286,727
hybrid_budget_0,sitting,0.834733893557423,0.8490028490028491,0.8418079096045198,351
hybrid_budget_0,standing,0.7681992337164751,0.5786435786435786,0.660082304526749,693
hybrid_budget_0,walking_running,0.6670403587443946,0.8184319119669876,0.7350216182828907,727
hybrid_budget_0.1,sitting,0.84375,0.8461538461538461,0.844950213371266,351
hybrid_budget_0.1,standing,0.7850467289719626,0.6060606060606061,0.6840390879478827,693
hybrid_budget_0.1,walking_running,0.6787330316742082,0.8253094910591472,0.74487895716946,727
hybrid_budget_0.25,sitting,0.8441926345609065,0.8490028490028491,0.8465909090909091,351
hybrid_budget_0.25,standing,0.8007590132827325,0.6089466089466089,0.6918032786885245,693
hybrid_budget_0.25,walking_running,0.6857463524130191,0.8404401650618982,0.7552533992583437,727
hybrid_budget_0.5,sitting,0.8768328445747801,0.8518518518518519,0.8641618497109826,351
hybrid_budget_0.5,standing,0.8195488721804511,0.6291486291486291,0.7118367346938775,693
hybrid_budget_0.5,walking_running,0.6959910913140311,0.859697386519945,0.7692307692307693,727
hybrid_budget_1,sitting,0.8801169590643275,0.8575498575498576,0.8686868686868687,351
hybrid_budget_1,standing,0.8061041292639138,0.6479076479076479,0.7184,693
hybrid_budget_1,walking_running,0.7052752293577982,0.8459422283356258,0.7692307692307693,727
