family,calibrated,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,adaptive_ece,classwise_ece
static,False,0.7594744820616472,0.7736602988606872,0.7587930887184096,0.7890907844457709,0.5741131432985841,0.3361009571159002,0.0317644979337209,0.0349666769914432,0.0539703526305196
static,True,0.7594744820616472,0.7736602988606872,0.7587930887184096,0.7890907844457709,0.5722018063861969,0.3349661608400857,0.0262783169614252,0.0323353065205942,0.055098205709001
teacher,False,0.7867609903991916,0.8009844986373861,0.7873215041394523,0.8025220076934457,0.5468587605515213,0.3039919382457797,0.033036706431149,0.0365127746234146,0.0552030935984416
teacher,True,0.7867609903991916,0.8009844986373861,0.7873215041394523,0.8025220076934457,0.5423296186846458,0.3029120520513352,0.0280362649087069,0.0318125317646809,0.0568269690141031
classification_student,False,0.7695805962607377,0.7809736273049485,0.769060893061747,0.7915192259618081,0.5548303803241843,0.32466824394705,0.0367177339817551,0.039534137839618,0.0534594378712277
classification_student,True,0.7695805962607377,0.7809736273049485,0.769060893061747,0.7915192259618081,0.5546812484524121,0.324747228290106,0.0345237786209792,0.0409750201000415,0.0515751950614875
routing_student,False,0.7660434562910561,0.7775583618175302,0.7653148220993468,0.787321712812036,0.5534130475629168,0.3243872829059704,0.0338511219405356,0.042997066794832,0.0482323192021613
routing_student,True,0.7660434562910561,0.7775583618175302,0.7653148220993468,0.787321712812036,0.5532797062035058,0.3245039278524108,0.0389082785749312,0.0442532678990367,0.0495155002254824
