family,axis,value,samples,accuracy_delta_vs_static,macro_f1_delta_vs_static,locomotion_f1_delta_vs_static
classification_student,center_occluded,false,1735,0.0,-0.0006428698927445353,0.00858264601150438
classification_student,center_occluded,true,36,0.02777777777777768,0.02388888888888885,0.030000000000000027
classification_student,drone_view,drone_1,1058,-0.009451795841209809,-0.009106437588585536,-0.003250958107572255
classification_student,drone_view,drone_2,713,0.015427769985974726,0.012959539700753031,0.02702058873574953
classification_student,part_of_day,morning,524,-0.03244274809160308,-0.026204660395919732,-0.0271411625148279
classification_student,part_of_day,noon,1247,0.014434643143544479,0.011087241444006413,0.018922579874849355
classification_student,person_scale,small,938,0.0,-0.005220255005183083,0.005381743684953921
classification_student,person_scale,tiny,828,0.0012077294685990392,0.005283142612709901,0.013676895063788441
classification_student,scenario,1.8,227,-0.017621145374449365,-0.011982809108687986,-0.0012203389830508504
classification_student,scenario,1.9,297,-0.043771043771043794,-0.038426455286429406,-0.04508326029798421
classification_student,scenario,2.1,435,0.016091954022988464,0.01588490247262997,0.020725388601036232
classification_student,scenario,2.10,620,0.012903225806451646,0.005876253242771301,0.016871635428336473
classification_student,scenario,2.3,192,0.015625,0.009632498341648699,0.018127705627705604
classification_student,transition_window,false,1666,0.0012004801920768582,0.0009013201232268564,0.00872398877718028
classification_student,transition_window,true,105,-0.00952380952380949,-0.011454294095082085,0.01113653699466055
classification_student,walking_running_subtype,not_applicable,1044,-0.02298850574712641,-0.010074233933287657,0.0
classification_student,walking_running_subtype,running,36,0.02777777777777779,0.004968944099378925,0.014906832298136607
classification_student,walking_running_subtype,walking,691,0.0347322720694645,0.007191100103027315,0.021573300309082
classification_student,window_any_occluded,false,1706,-0.0005861664712778492,-0.0011552314074728676,0.007857466263685331
classification_student,window_any_occluded,true,65,0.03076923076923077,0.025880303595869125,0.042553191489361764
hybrid_budget_0.5,center_occluded,false,1735,0.036311239193083655,0.03431540804896216,0.04301717699775953
hybrid_budget_0.5,center_occluded,true,36,0.11111111111111105,0.11058588365039979,0.0492307692307693
hybrid_budget_0.5,drone_view,drone_1,1058,0.03308128544423439,0.03068178449642267,0.03828910752240511
hybrid_budget_0.5,drone_view,drone_2,713,0.04488078541374474,0.04366163416319746,0.05035677879714573
hybrid_budget_0.5,part_of_day,morning,524,0.005725190839694583,0.0031573799851112305,-0.010171465545130931
hybrid_budget_0.5,part_of_day,noon,1247,0.05132317562149158,0.04756400423929341,0.05122202109013585
hybrid_budget_0.5,person_scale,small,938,0.02985074626865669,0.02874505795878657,0.028252128048462
hybrid_budget_0.5,person_scale,tiny,828,0.04710144927536242,0.04800348642930985,0.069872012620258
hybrid_budget_0.5,scenario,1.8,227,0.008810572687224627,0.0045555465486915026,0.0032708890871245844
hybrid_budget_0.5,scenario,1.9,297,0.0033670033670033517,0.0016434922622411419,-0.01874785657127609
hybrid_budget_0.5,scenario,2.1,435,0.0735632183908046,0.07071286299598223,0.07268977312742086
hybrid_budget_0.5,scenario,2.10,620,0.032258064516129004,0.0235900535869622,0.03848434125156863
hybrid_budget_0.5,scenario,2.3,192,0.0625,0.06722213739382132,0.054749240121580445
hybrid_budget_0.5,transition_window,false,1666,0.037214885954381716,0.034944134462284726,0.043908677529367224
hybrid_budget_0.5,transition_window,true,105,0.04761904761904756,0.04380513082123122,0.032838506522717026
hybrid_budget_0.5,walking_running_subtype,not_applicable,1044,0.011494252873563204,0.008477979993530393,0.0
hybrid_budget_0.5,walking_running_subtype,running,36,0.05555555555555558,0.009797917942437284,0.029393753827311575
hybrid_budget_0.5,walking_running_subtype,walking,691,0.07670043415340078,0.015520837836211332,0.04656251350863405
hybrid_budget_0.5,window_any_occluded,false,1706,0.03692848769050405,0.03541893868329371,0.04279307804860155
hybrid_budget_0.5,window_any_occluded,true,65,0.06153846153846154,0.049845531208513316,0.05384281372123323
routing_student,center_occluded,false,1735,-0.0011527377521614035,-0.001612168148716231,0.00939012293726893
routing_student,center_occluded,true,36,0.0,-0.0207422969187675,0.030000000000000027
routing_student,drone_view,drone_1,1058,-0.007561436672967825,-0.007121267472279258,0.0004553016373347596
