requested_clip_fraction,observed_clip_fraction,accuracy,macro_f1,routed_advantage_precision,advantage_recall
0.0,0.0,0.7695805962607377,0.7809736273049485,,0.0
0.1,0.1000505305709954,0.7791814047498736,0.7888085372222097,0.4191919191919191,0.2426900584795321
0.25,0.2501263264274886,0.7933299646286003,0.8004692916300412,0.3878787878787879,0.5614035087719298
0.5,0.5002526528549772,0.7948458817584638,0.8046535552121995,0.2909090909090909,0.8421052631578947
1.0,1.0,0.7867609903991916,0.8009844986373861,0.1728145528044466,1.0
