requested_clip_fraction,observed_clip_fraction,accuracy,macro_f1
0.0,0.0,0.730660643704122,0.7456372774713865
0.1,0.1005081874647092,0.743647656691135,0.7579560861628695
0.25,0.2501411631846414,0.7515527950310559,0.7645491956792592
0.5,0.5002823263692829,0.7679277244494636,0.7817431178785431
1.0,1.0,0.7707509881422925,0.7854392126392127
