family,split,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,adaptive_ece,classwise_ece,locomotion_f1
static,validation,0.749819233550253,0.7414088593421871,0.7423682058968863,0.753477941287375,0.606141930873504,0.34428934339623457,0.026775242614513327,0.028016578266565503,0.05407380196481726,0.8074023303632625
teacher,validation,0.7780187997107737,0.7806159956588115,0.77498375048585,0.7924257804492943,0.5631942546833276,0.3155898783707181,0.04665323372415805,0.04583207024739476,0.05985543818214275,0.8162973552537527
distilled_static,validation,0.7577729573391179,0.7507185739233749,0.7533960974696786,0.763906442833711,0.5906937732279125,0.3341855947314127,0.0334737017901583,0.0319378106417814,0.0525083588029444,0.8115737473535639
identifiability_conditioned_static,validation,0.7527114967462039,0.7495993899002359,0.7501170151768621,0.7611139688254472,0.5895053129845813,0.3356491625538618,0.0358732228445472,0.0307277709805956,0.0505185468247883,0.8031723143475126
